,epochs,Decay,Modes,Loss,Modes_truncated,Loss_truncated,epochs_truncated
0,0.0,0.05009130218271743,1.0,-0.0017661099398702139,1.0,0.03686461828500735,521.0
1,1.0,0.050244918011346,1.0,-0.0016773343159572846,1.0,0.03686567972131478,522.0
2,2.0,0.049584313399559016,1.0,-0.001595367371370375,1.0,0.0368666770300227,523.0
3,3.0,0.049519220015739704,1.0,-0.001517172710753699,1.0,0.036867645635503696,524.0
4,4.0,0.049436400965125214,1.0,-0.00144376468681494,1.0,0.03686863280254886,525.0
5,5.0,0.04944286309706763,1.0,-0.0013739979820393726,1.0,0.03686962469719437,526.0
6,6.0,0.04983767832683276,1.0,-0.0013077109627072443,1.0,0.03687057020505375,527.0
7,7.0,0.05045527930856365,1.0,-0.0012446138398121364,1.0,0.03687145990458072,528.0
8,8.0,0.05118203882104263,1.0,-0.0011840932777739638,1.0,0.0368723370949551,529.0
9,9.0,0.05198021201378015,1.0,-0.0011258196273702112,1.0,0.03687323226413312,530.0
10,10.0,0.05286932334764749,1.0,-0.0010696356877851385,1.0,0.03687411902291144,531.0
11,11.0,0.05395173628100832,1.0,-0.0010154442394436243,1.0,0.03687495835793294,532.0
12,12.0,0.05541377052169292,1.0,-0.0009631410078388921,1.0,0.03687575930172646,533.0
13,13.0,0.05728349211002624,1.0,-0.0009125428085351094,1.0,0.03687655994306928,534.0
14,14.0,0.05946251654658258,1.0,-0.0008633386643295844,1.0,0.03687736825127838,535.0
15,15.0,0.06195629190106358,1.0,-0.0008152606490671555,1.0,0.03687815494788827,536.0
16,16.0,0.06492248302040363,1.0,-0.0007681828805276019,1.0,0.03687890245601535,537.0
17,17.0,0.06856937508289819,1.0,-0.0007220191834926003,1.0,0.03687962881221744,538.0
18,18.0,0.07306384276433876,1.0,-0.0006766176940263821,1.0,0.036880356316940956,539.0
19,19.0,0.0785586262232426,1.0,-0.000631760361216298,1.0,0.036881079989272335,540.0
20,20.0,0.08529542958148857,1.0,-0.0005872283610487598,1.0,0.03688177953051762,541.0
21,21.0,0.09368774931443548,1.0,-0.0005428400500900847,1.0,0.036882450617488,542.0
22,22.0,0.10435669656901726,1.0,-0.0004984321694515479,1.0,0.03688310847162676,543.0
23,23.0,0.11818985048923729,1.0,-0.0004538247649738578,1.0,0.03688376405713734,544.0
24,24.0,0.13656316888830758,1.0,-0.0004088137139756135,1.0,0.036884410252737664,545.0
25,25.0,0.1618585811577677,1.0,-0.0003631920887737293,1.0,0.036885035080093144,546.0
26,26.0,0.19855642927542516,1.0,-0.0003167636346279892,1.0,0.036885639202257424,547.0
27,27.0,0.256025432026608,1.0,-0.00026933138081626566,1.0,0.03688623299301309,548.0
28,28.0,0.3576580316077391,1.0,-0.00022068357123120812,1.0,0.03688682120776617,549.0
29,29.0,0.5831686687922644,1.0,-0.00017059494557693987,1.0,0.03688739819902178,550.0
30,30.0,1.49588221430397,1.0,-0.00011883624977009255,1.0,0.036887957782048696,551.0
31,31.0,2.9557123673228447,1.0,-6.517999540317102e-05,1.0,0.03688850161878651,552.0
32,32.0,0.7677587862279652,1.0,-9.399171064711086e-06,1.0,0.03688903566648989,553.0
33,33.0,0.45005602549183427,1.0,4.873808258697245e-05,1.0,0.036889562087555144,554.0
34,34.0,0.3230034577153507,1.0,0.00010947146938144278,1.0,0.03689007774622287,555.0
35,35.0,0.25478270419855764,1.0,0.00017304576009759227,1.0,0.03689057951987966,556.0
36,36.0,0.21231333458012625,1.0,0.00023970586039613658,1.0,0.036891068324846434,557.0
37,37.0,0.1833948763311436,1.0,0.000309694746560508,1.0,0.036891547347129086,558.0
38,38.0,0.1624772719585074,1.0,0.00038325609891166543,1.0,0.03689201799439959,559.0
39,39.0,0.1466654903328952,1.0,0.00046063912943082174,1.0,0.03689247884885574,560.0
40,40.0,0.13429927709290654,1.0,0.000542100314062843,1.0,0.03689292810139404,561.0
41,41.0,0.12436323339385288,1.0,0.0006278996211570863,1.0,0.03689336579812019,562.0
42,42.0,0.11620389820574854,1.0,0.0007182961828059567,1.0,0.03689379318378959,563.0
43,43.0,0.10937852251131963,1.0,0.000813548779064077,1.0,0.03689421066211687,564.0
44,44.0,0.10357404376125354,1.0,0.0009139179638370248,1.0,0.036894616401193694,565.0
45,45.0,0.09856455899820013,1.0,0.0010196641407119735,1.0,0.0368950079791007,566.0
46,46.0,0.094184835287489,1.0,0.0011310428507369562,1.0,0.03689538260446889,567.0
47,47.0,0.09031014404066225,1.0,0.0012483024088445088,1.0,0.03689574424732356,568.0
48,48.0,0.08684305152181676,1.0,0.0013716838982385563,1.0,0.036896100549878894,569.0
49,49.0,0.08370722290707369,1.0,0.001501419069676592,1.0,0.036896473449912426,570.0
50,50.0,0.08084369906306543,1.0,0.001637725517223908,1.0,0.0368968629175556,571.0
51,51.0,0.07820613156761726,1.0,0.0017808032938242385,1.0,0.03689724599863133,572.0
52,52.0,0.07575646355564737,1.0,0.0019308345606951626,1.0,0.03689759386812875,573.0
53,53.0,0.07346339626587531,1.0,0.0020879826338256096,1.0,0.0368979109044954,574.0
54,54.0,0.07130215377719618,1.0,0.0022523882065178464,1.0,0.036898223721834836,575.0
55,55.0,0.06925295363939914,1.0,0.0024241659833213443,1.0,0.03689854712687389,576.0
56,56.0,0.06729903794421672,1.0,0.0026034042772435733,1.0,0.036898869945135256,577.0
57,57.0,0.06542644089840145,1.0,0.0027901645636895997,1.0,0.036899169847450515,578.0
58,58.0,0.063624399989059,1.0,0.0029844785258895477,2.0,0.036899442392345876,579.0
59,59.0,0.061884325381443755,1.0,0.003186346071290447,2.0,0.03689701486556873,580.0
60,60.0,0.06019863799042776,1.0,0.0033957366016629685,2.0,0.03689948160527915,581.0
61,61.0,0.05856125972572931,1.0,0.0036125893638783587,2.0,0.036897607934494835,582.0
62,62.0,0.05696805975896664,1.0,0.0038368112492562388,2.0,0.03689802158468289,583.0
63,63.0,0.055415718789787974,1.0,0.004068277218720258,2.0,0.036900841813266354,584.0
64,64.0,0.05390110100244734,1.0,0.004306834140932611,2.0,0.03690191286288659,585.0
65,65.0,0.05242193389341557,1.0,0.004552301834911548,2.0,0.03690228868710809,586.0
66,66.0,0.05097670596906769,1.0,0.0048044720418045144,2.0,0.03690301962357301,587.0
67,67.0,0.04956400218751896,1.0,0.005063110933001039,2.0,0.036903942257282246,588.0
68,68.0,0.04818242826578297,1.0,0.005327962274809856,2.0,0.03690456624533553,589.0
69,69.0,0.046830655221087876,1.0,0.005598748021319732,2.0,0.03690499913178602,590.0
